groups_pas,groups_obs,ST07,ST08,ST09,ST10,ST12,ST13,ST14,ST15,ST16,ST17,ST18,ST18-2,soundspeed,synced_time,mean_BI
271,1094,1937907.9913620043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1431.0937467537588,2016-03-01 03:53:50.995667,28.6
271,1095,NA,NA,NA,NA,NA,1937940.9676840042,NA,NA,NA,NA,NA,NA,1431.0925390578923,2016-03-01 03:54:23.971989,28.6
271,1096,NA,NA,NA,NA,1937969.7343200042,NA,NA,NA,NA,NA,NA,NA,1431.0913313544197,2016-03-01 03:54:52.738625,28.6
271,1097,NA,NA,NA,NA,1938073.3779300041,NA,NA,NA,NA,NA,NA,NA,1431.0892160984974,2016-03-01 03:56:36.382235,28.6
271,1098,1938135.673509004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1431.0883085493595,2016-03-01 03:57:38.677814,28.6
271,1099,1938192.778420004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1431.0874009959266,2016-03-01 03:58:35.782725,28.6
271,1100,1938222.501984004,NA,NA,NA,1938222.475700004,NA,NA,NA,NA,NA,NA,NA,1431.0860396571861,2016-03-01 03:59:05.480005,28.6
271,1101,1938245.0027060038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1431.0846783098557,2016-03-01 03:59:28.007011,28.6
271,1102,1938268.5382350038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1431.083770739242,2016-03-01 03:59:51.542540,28.6
271,1103,1938294.243576004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1431.0828631643333,2016-03-01 04:00:17.247881,28.6
271,1104,NA,NA,NA,NA,1938324.060212004,NA,NA,NA,NA,NA,NA,NA,1431.081955585129,2016-03-01 04:00:47.064517,28.6
271,1105,1938346.754063004,NA,NA,NA,NA,1938346.716998004,NA,NA,NA,NA,NA,NA,1431.0805942077327,2016-03-01 04:01:09.721303,28.6
271,1106,1938370.595194004,NA,NA,NA,1938370.568472004,1938370.557587004,NA,NA,NA,NA,NA,NA,1431.0783252239291,2016-03-01 04:01:33.561892,28.6
271,1107,1938396.954538004,NA,NA,NA,1938396.928049004,1938396.917164004,NA,NA,NA,NA,NA,NA,1431.0756024090033,2016-03-01 04:01:59.921469,28.6
