TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX
103,A69-1105-103,2016-02-09 23:24:09,1057.84,921.50,1.364,51.096904,5.110899,2,6.5,,,1.3644,,S12 S14 S16 S7,S12 S14 S16 S7
103,A69-1105-103,2016-02-09 23:57:49,1038.55,917.86,2.122,51.096872,5.110623,8,4.5,,,2.1224,,S12 S13 S14 S17 S18 S18-2,S12 S13 S14 S17 S18 S18-2
103,A69-1105-103,2016-02-14 17:00:32,1056.73,928.09,2.198,51.096964,5.110883,1,5.2,,,2.1982,,S13 S14 S7,S13 S14 S7
103,A69-1105-103,2016-02-14 17:01:08,1056.96,927.84,2.198,51.096961,5.110886,1,5.2,,,2.1982,,S13 S14 S7,S13 S14 S7
103,A69-1105-103,2016-02-14 17:01:43,1057.71,927.66,2.198,51.096960,5.110897,1,5.2,,,2.1982,,S13 S14 S7,S13 S14 S7
103,A69-1105-103,2016-02-14 17:11:44,1057.16,927.51,2.198,51.096958,5.110889,1,5.2,,,2.1982,,S13 S14 S7,S13 S14 S7
103,A69-1105-103,2016-02-14 17:12:08,1057.51,926.94,2.198,51.096953,5.110894,1,5.3,,,2.1982,,S13 S14 S7,S13 S14 S7
103,A69-1105-103,2016-02-20 18:34:39,1006.49,934.00,2.274,51.097017,5.110166,1,5.0,,,2.2740,,S14 S7 S9,S14 S7 S9
103,A69-1105-103,2016-02-29 00:27:44,1011.92,930.64,2.274,51.096986,5.110243,1,4.9,,,2.2740,,S13 S14 S7 S9,S14 S7 S9
103,A69-1105-103,2016-03-01 04:25:54,997.80,934.20,2.198,51.097019,5.110042,1,5.0,,,2.1982,,S12 S7 S8 S9,S7 S8 S9
103,A69-1105-103,2016-03-03 22:51:18,1066.32,911.01,2.198,51.096810,5.111020,2,5.8,,,2.1982,,S12 S13 S14 S7,S12 S13 S14 S7
103,A69-1105-103,2016-03-05 03:11:35,991.27,937.92,2.047,51.097052,5.109948,1,5.1,,,2.0466,,S12 S18-2 S7 S9,S18-2 S7 S9
103,A69-1105-103,2016-03-05 18:34:37,1010.61,929.30,2.047,51.096974,5.110225,1,5.0,,,2.0466,,S14 S7 S9,S14 S7 S9
103,A69-1105-103,2016-03-06 19:01:40,1002.02,926.06,2.047,51.096945,5.110102,2,6.5,,,2.0466,,S12 S14 S18 S7,S12 S14 S18 S7
103,A69-1105-103,2016-03-06 19:02:13,1003.34,926.70,2.047,51.096951,5.110121,2,6.4,,,2.0466,,S12 S14 S18 S7,S12 S14 S18 S7
103,A69-1105-103,2016-03-06 19:03:16,1002.10,931.71,2.047,51.096996,5.110103,1,6.5,,,2.0466,,S14 S18 S7,S14 S18 S7
103,A69-1105-103,2016-03-06 19:26:46,1050.92,911.40,2.047,51.096814,5.110800,1,6.8,,,2.0466,,S12 S14 S16,S12 S14 S16
103,A69-1105-103,2016-03-12 23:14:17,1002.86,933.01,2.274,51.097008,5.110114,2,4.7,,,2.2740,,S12 S13 S14 S18-2 S7 S9,S14 S18-2 S7 S9
103,A69-1105-103,2016-03-12 23:16:23,1002.65,932.87,2.198,51.097007,5.110111,2,4.7,,,2.1982,,S12 S13 S14 S18-2 S7 S9,S14 S18-2 S7 S9
103,A69-1105-103,2016-03-12 23:16:52,1002.61,932.78,2.198,51.097006,5.110110,2,4.7,,,2.1982,,S12 S13 S14 S18-2 S7 S9,S14 S18-2 S7 S9
103,A69-1105-103,2016-03-12 23:18:04,1002.29,932.65,2.198,51.097005,5.110106,2,4.7,,,2.1982,,S12 S13 S14 S18-2 S7 S9,S14 S18-2 S7 S9
103,A69-1105-103,2016-03-12 23:27:53,1012.46,929.88,2.350,51.096980,5.110251,1,5.0,,,2.3498,,S12 S13 S14 S7 S9,S14 S7 S9
103,A69-1105-103,2016-03-12 23:42:33,1005.73,932.05,1.668,51.096999,5.110155,2,4.7,,,1.6676,,S12 S13 S14 S7 S8 S9,S14 S7 S8 S9
103,A69-1105-103,2016-03-12 23:43:38,989.95,936.75,1.592,51.097042,5.109930,1,5.1,,,1.5918,,S13 S18-2 S7 S9,S18-2 S7 S9
103,A69-1105-103,2016-03-12 23:44:02,1012.65,931.54,1.592,51.096995,5.110254,3,4.5,,,1.5918,,S16 S18-2 S7 S9,S16 S18-2 S7 S9
103,A69-1105-103,2016-03-12 23:54:27,1038.56,920.51,2.350,51.096895,5.110623,2,5.9,,,2.3498,,S12 S13 S14 S16 S7,S12 S14 S16 S7
103,A69-1105-103,2016-03-13 00:04:08,1044.65,920.99,3.184,51.096900,5.110710,2,6.0,,,3.1836,,S12 S13 S14 S16 S7 S8,S12 S14 S16 S7
